Date,last_price,final_price,call_price,exp_profit,strike,target,target_mc,exp_date
2018-01-02,268.81,283.17999267578125,1.56,12.619992675781248,269.0,1,1,2018-01-24
2018-01-03,270.47,283.17999267578125,2.15,11.029992675781273,270.0,1,1,2018-01-24
2018-01-04,271.56,283.17999267578125,1.67,9.509992675781234,272.0,1,1,2018-01-24
2018-01-05,273.41,286.5799865722656,2.21,11.369986572265645,273.0,1,1,2018-01-26
2018-01-08,273.94,281.8999938964844,2.08,5.819993896484391,274.0,1,1,2018-01-31
2018-01-09,274.53,281.8999938964844,1.95,4.949993896484386,275.0,1,1,2018-01-31
2018-01-10,274.08,281.8999938964844,2.16,5.73999389648435,274.0,1,1,2018-01-31
2018-01-11,276.09,281.8999938964844,2.01,3.889993896484384,276.0,1,1,2018-01-31
2018-01-12,277.91,275.45001220703125,2.26,-4.809987792968741,278.0,0,-1,2018-02-02
2018-01-16,276.96,267.6700134277344,4.05,-11.379986572265636,275.0,0,-1,2018-02-07
2018-01-17,279.61,267.6700134277344,2.4,-14.729986572265602,280.0,0,-1,2018-02-07
2018-01-18,279.18,267.6700134277344,2.2,-14.529986572265614,280.0,0,-1,2018-02-07
2018-01-19,280.41,261.5,2.72,-21.220000000000027,280.0,0,-1,2018-02-09
2018-01-22,282.69,269.5899963378906,1.42,-16.83000366210939,285.0,0,-1,2018-02-14
2018-01-23,283.24,269.5899963378906,1.81,-17.220003662109377,285.0,0,-1,2018-02-14
2018-01-24,283.12,269.5899963378906,2.09,-17.50000366210935,285.0,0,-1,2018-02-14
2018-01-25,283.3,269.5899963378906,1.86,-17.27000366210939,285.0,0,-1,2018-02-14
2018-01-26,286.56,273.1099853515625,2.76,-16.15001464843749,286.5,0,-1,2018-02-16
2018-01-29,284.64,270.04998779296875,3.75,-18.20001220703125,284.5,0,-1,2018-02-21
2018-01-30,281.6,270.04998779296875,3.75,-15.20001220703125,281.5,0,-1,2018-02-21
2018-01-31,282.02,270.04998779296875,3.28,-15.230012207031223,282.0,0,-1,2018-02-21
2018-02-01,281.58,270.04998779296875,2.9,-14.350012207031227,281.5,0,-1,2018-02-21
2018-02-02,275.52,274.7099914550781,4.26,-5.050008544921866,275.5,0,-1,2018-02-23
2018-02-05,263.93,271.6499938964844,8.22,-1.5700061035156523,265.0,0,0,2018-02-28
2018-02-06,269.17,271.6499938964844,6.68,-4.030006103515632,269.0,0,-1,2018-02-28
2018-02-07,267.63,271.6499938964844,5.5,-1.850006103515625,268.0,0,0,2018-02-28
2018-02-08,257.77,271.6499938964844,6.35,5.299993896484352,260.0,1,1,2018-02-28
2018-02-09,261.7,269.0799865722656,5.77,1.3099865722656432,262.0,1,0,2018-03-02
2018-02-12,265.22,272.7799987792969,5.4,2.3799987792968977,265.0,1,0,2018-03-07
2018-02-13,266.07,272.7799987792969,4.48,2.299998779296857,266.0,1,0,2018-03-07
2018-02-14,269.59,272.7799987792969,3.8,-1.0200012207031364,270.0,0,0,2018-03-07
2018-02-15,272.93,272.7799987792969,3.49,-3.710001220703134,273.0,0,-1,2018-03-07
2018-02-16,273.16,278.8699951171875,4.31,1.5599951171874977,273.0,1,0,2018-03-09
2018-02-20,271.44,278.5199890136719,4.3,3.2199890136718636,271.0,1,1,2018-03-12
2018-02-21,269.97,275.29998779296875,4.63,0.6699877929687545,270.0,1,0,2018-03-14
2018-02-22,270.31,275.29998779296875,4.26,1.039987792968759,270.0,1,0,2018-03-14
2018-02-23,274.67,274.20001220703125,3.02,-3.819987792968732,275.0,0,-1,2018-03-16
2018-02-26,277.88,270.489990234375,3.0,-10.510009765625,278.0,0,-1,2018-03-19
2018-02-27,274.37,270.489990234375,4.06,-7.570009765625002,274.0,0,-1,2018-03-19
2018-02-28,271.34,270.42999267578125,4.86,-5.430007324218764,271.0,0,-1,2018-03-21
2018-03-01,267.7,270.42999267578125,4.34,-1.910007324218725,268.0,0,0,2018-03-21
2018-03-02,269.1,258.04998779296875,4.0,-14.95001220703125,269.0,0,-1,2018-03-23
2018-03-05,272.15,265.1099853515625,3.5,-10.3900146484375,272.0,0,-1,2018-03-26
2018-03-06,272.95,265.1099853515625,3.12,-11.010014648437505,273.0,0,-1,2018-03-26
2018-03-07,272.85,259.8299865722656,2.72,-15.890013427734402,273.0,0,-1,2018-03-28
2018-03-08,274.09,263.1499938964844,2.85,-13.700006103515648,274.0,0,-1,2018-03-29
2018-03-09,278.76,263.1499938964844,2.47,-18.320006103515652,279.0,0,-1,2018-03-29
2018-03-12,278.51,257.4700012207031,2.59,-24.11999877929685,279.0,0,-1,2018-04-02
2018-03-13,276.71,257.4700012207031,2.46,-21.989998779296855,277.0,0,-1,2018-04-02
2018-03-14,275.24,263.5599975585937,2.82,-14.2600024414063,275.0,0,-1,2018-04-04
2018-03-15,275.01,263.5599975585937,2.51,-13.950002441406298,275.0,0,-1,2018-04-04
2018-03-16,274.22,259.7200012207031,3.56,-17.839998779296877,274.0,0,-1,2018-04-06
2018-03-19,270.61,261.0,3.98,-12.980000000000018,270.0,0,-1,2018-04-09
2018-03-20,270.93,261.0,4.21,-13.20999999999998,270.0,0,-1,2018-04-09
2018-03-21,270.4,263.760009765625,4.17,-10.409990234375016,270.0,0,-1,2018-04-11
2018-03-22,263.75,263.760009765625,4.58,-4.819990234374984,264.0,0,-1,2018-04-11
2018-03-23,258.01,265.1499938964844,5.79,1.3599938964843545,258.0,1,0,2018-04-13
2018-03-26,265.14,267.3299865722656,4.73,-2.400013427734393,265.0,0,0,2018-04-16
2018-03-27,260.5,267.3299865722656,5.0,2.329986572265625,260.0,1,0,2018-04-16
2018-03-28,259.82,270.3900146484375,5.75,4.6400146484375,260.0,1,1,2018-04-18
2018-03-29,263.49,270.3900146484375,4.06,1.3300146484374977,265.0,1,0,2018-04-18
2018-04-02,257.54,266.57000732421875,4.08,2.490007324218766,260.0,1,0,2018-04-23
2018-04-03,260.73,266.57000732421875,5.09,0.980007324218775,260.5,1,0,2018-04-23
2018-04-04,263.78,263.6300048828125,4.25,-5.6199951171875,265.0,0,-1,2018-04-25
2018-04-05,265.59,263.6300048828125,4.74,-6.609995117187509,265.5,0,-1,2018-04-25
2018-04-06,259.8,266.5599975585937,5.04,1.5199975585936727,260.0,1,0,2018-04-27
2018-04-09,260.83,264.510009765625,4.98,-1.4699902343750182,261.0,0,0,2018-04-30
2018-04-10,265.05,264.510009765625,4.85,-5.339990234375023,265.0,0,-1,2018-04-30
2018-04-11,263.74,263.20001220703125,3.85,-5.649987792968773,265.0,0,-1,2018-05-02
2018-04-12,265.93,263.20001220703125,4.61,-6.409987792968764,265.0,0,-1,2018-05-02
2018-04-13,265.09,266.0199890136719,4.01,-2.990010986328116,265.0,0,0,2018-05-04
2018-04-16,267.32,266.9200134277344,5.33,-3.409986572265609,265.0,0,-1,2018-05-07
2018-04-17,270.14,266.9200134277344,3.27,-6.349986572265607,270.0,0,-1,2018-05-07
2018-04-18,270.37,269.5,3.71,-4.2099999999999795,270.0,0,-1,2018-05-09
2018-04-19,268.86,269.5,2.66,-3.160000000000025,270.0,0,-1,2018-05-09
2018-04-20,266.63,272.8500061035156,3.19,2.6600061035156273,267.0,1,0,2018-05-11
2018-04-23,266.57,272.9800109863281,4.45,3.5300109863281364,265.0,1,1,2018-05-14
2018-04-24,263.04,272.9800109863281,3.84,6.14001098632815,263.0,1,1,2018-05-14
2018-04-25,263.63,272.239990234375,3.56,4.679990234374998,264.0,1,1,2018-05-16
2018-04-26,266.24,272.239990234375,4.12,2.1199902343749955,266.0,1,0,2018-05-16
2018-04-27,266.58,271.3299865722656,3.64,1.1899865722656386,266.5,1,0,2018-05-18
2018-04-30,264.46,273.3699951171875,3.98,5.389995117187482,264.0,1,1,2018-05-21
2018-05-01,265.01,273.3699951171875,3.4,4.969995117187523,265.0,1,1,2018-05-21
2018-05-02,263.18,273.3599853515625,3.84,6.519985351562525,263.0,1,1,2018-05-23
2018-05-03,262.59,273.3599853515625,3.24,7.119985351562491,263.0,1,1,2018-05-23
2018-05-04,266.01,272.1499938964844,3.29,2.8599938964843545,266.0,1,0,2018-05-25
2018-05-07,266.92,269.0199890136719,3.12,-1.1000109863281295,267.0,0,0,2018-05-29
2018-05-08,266.9,269.0199890136719,3.08,-1.060010986328109,267.0,0,0,2018-05-29
2018-05-09,269.48,272.6099853515625,3.04,0.06998535156247954,269.5,1,0,2018-05-30
2018-05-10,272.06,272.6099853515625,2.64,-2.0300146484374864,272.0,0,0,2018-05-30
2018-05-11,272.64,273.6000061035156,2.74,-1.639993896484384,272.5,0,0,2018-06-01
2018-05-14,272.91,274.8999938964844,2.51,-0.6100061035156159,273.0,0,0,2018-06-04
2018-05-15,271.04,274.8999938964844,2.56,1.3399938964843727,271.0,1,0,2018-06-04
2018-05-16,272.22,277.3999938964844,2.8,2.5999938964843636,272.0,1,0,2018-06-06
2018-05-17,272.03,277.3999938964844,2.69,2.7099938964843773,272.0,1,0,2018-06-06
2018-05-18,271.34,278.19000244140625,2.8,3.8900024414062386,271.5,1,1,2018-06-08
2018-05-21,273.35,278.5599975585937,2.54,2.5199975585936727,273.5,1,0,2018-06-11
2018-05-22,272.57,278.5599975585937,2.63,3.4299975585936977,272.5,1,1,2018-06-11
2018-05-23,273.35,278.0299987792969,2.48,2.049998779296857,273.5,1,0,2018-06-13
2018-05-24,272.85,278.0299987792969,2.37,2.6599987792968705,273.0,1,0,2018-06-13
2018-05-25,272.18,277.1300048828125,2.76,2.370004882812509,272.0,1,0,2018-06-15
2018-05-29,269.11,276.5599975585937,3.3,4.259997558593682,269.0,1,1,2018-06-18
2018-05-30,272.59,275.9700012207031,2.64,0.8300012207031386,272.5,1,0,2018-06-20
2018-05-31,270.76,275.9700012207031,2.59,2.38000122070315,271.0,1,0,2018-06-20
2018-06-01,273.63,274.739990234375,2.37,-1.1300097656250045,273.5,0,0,2018-06-22
2018-06-04,274.92,271.0,1.96,-5.9599999999999795,275.0,0,-1,2018-06-25
2018-06-05,275.19,271.0,2.09,-6.089999999999975,275.0,0,-1,2018-06-25
2018-06-06,277.5,269.3500061035156,1.7,-9.849993896484364,277.5,0,-1,2018-06-27
2018-06-07,277.37,269.3500061035156,1.85,-9.999993896484398,277.5,0,-1,2018-06-27
2018-06-08,278.15,271.2799987792969,2.04,-8.760001220703145,278.0,0,-1,2018-06-29
2018-06-11,278.55,271.8599853515625,1.79,-8.93001464843752,279.0,0,-1,2018-07-02
2018-06-12,279.01,270.8999938964844,1.86,-9.960006103515639,279.0,0,-1,2018-07-03
2018-06-13,277.91,270.8999938964844,1.88,-8.98000610351562,278.0,0,-1,2018-07-03
2018-06-14,278.76,275.4200134277344,1.74,-5.319986572265634,279.0,0,-1,2018-07-06
2018-06-15,277.16,275.4200134277344,2.47,-4.049986572265652,277.0,0,-1,2018-07-06
2018-06-18,276.57,277.8999938964844,2.22,-1.3200061035156523,277.0,0,0,2018-07-09
2018-06-19,275.48,277.8999938964844,2.95,-0.05000610351561363,275.0,0,0,2018-07-09
2018-06-20,276.04,276.8599853515625,2.75,-1.8900146484375,276.0,0,0,2018-07-11
2018-06-21,274.21,276.8599853515625,3.1,-0.24001464843752274,274.0,0,0,2018-07-11
2018-06-22,274.72,279.5899963378906,3.38,1.7099963378906295,274.5,1,0,2018-07-13
2018-06-25,270.92,279.3399963378906,3.79,4.5499963378906045,271.0,1,1,2018-07-16
2018-06-26,271.55,279.3399963378906,3.03,4.309996337890652,272.0,1,1,2018-07-16
2018-06-27,269.48,281.0599975585937,5.18,6.879997558593686,269.0,1,1,2018-07-18
2018-06-28,270.94,281.0599975585937,3.57,6.4899975585937,271.0,1,1,2018-07-18
2018-06-29,271.2,279.67999267578125,3.74,4.939992675781241,271.0,1,1,2018-07-20
2018-07-02,272.0,280.20001220703125,3.19,5.010012207031252,272.0,1,1,2018-07-23
2018-07-03,270.9,280.20001220703125,4.33,4.870012207031266,271.0,1,1,2018-07-23
2018-07-05,273.06,284.010009765625,2.95,8.060009765625011,273.0,1,1,2018-07-25
2018-07-06,275.4,281.4200134277344,2.75,3.170013427734375,275.5,1,1,2018-07-27
2018-07-09,277.92,279.95001220703125,2.43,-0.4799877929687568,278.0,0,0,2018-07-30
2018-07-10,278.84,279.95001220703125,2.25,-1.29998779296875,279.0,0,0,2018-07-30
2018-07-11,276.85,280.8599853515625,2.77,1.0899853515625182,277.0,1,0,2018-08-01
